"class","true_class_cn","confidence","source_path","candidate_path","labelimg_image","pred_class_cn","correct"
"powder","凸粉","0.795938","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901101326对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\powder\凸粉20180901101326对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\powder__凸粉20180901101326对照样本.jpg","凸粉","TRUE"
"powder","凸粉","0.768446","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901101053对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\powder\凸粉20180901101053对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\powder__凸粉20180901101053对照样本.jpg","凸粉","TRUE"
"powder","凸粉","0.76395","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901101040对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\powder\凸粉20180901101040对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\powder__凸粉20180901101040对照样本.jpg","凸粉","TRUE"
"powder","凸粉","0.75562","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901101713对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\powder\凸粉20180901101713对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\powder__凸粉20180901101713对照样本.jpg","凸粉","TRUE"
"powder","凸粉","0.721225","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901141422对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\powder\凸粉20180901141422对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\powder__凸粉20180901141422对照样本.jpg","凸粉","TRUE"
"powder","凸粉","0.682701","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Convex powder\凸粉20180901141814对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\powder\凸粉20180901141814对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\powder__凸粉20180901141814对照样本.jpg","凸粉","TRUE"
"dent","碰伤","0.998642","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905091850对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\dent\碰伤20180905091850对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\dent__碰伤20180905091850对照样本.jpg","碰伤","TRUE"
"dent","碰伤","0.99815","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905091813对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\dent\碰伤20180905091813对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\dent__碰伤20180905091813对照样本.jpg","碰伤","TRUE"
"dent","碰伤","0.998105","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905094451对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\dent\碰伤20180905094451对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\dent__碰伤20180905094451对照样本.jpg","碰伤","TRUE"
"dent","碰伤","0.998049","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905095214对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\dent\碰伤20180905095214对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\dent__碰伤20180905095214对照样本.jpg","碰伤","TRUE"
"dent","碰伤","0.981716","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180907154406对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\dent\碰伤20180907154406对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\dent__碰伤20180907154406对照样本.jpg","碰伤","TRUE"
"dent","碰伤","0.801377","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180907152238对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\dent\碰伤20180907152238对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\dent__碰伤20180907152238对照样本.jpg","碰伤","TRUE"
"dent","碰伤","0.795037","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905091545对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\dent\碰伤20180905091545对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\dent__碰伤20180905091545对照样本.jpg","碰伤","TRUE"
"dent","碰伤","0.724933","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Be injured by a collision\碰伤20180905095710对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\dent\碰伤20180905095710对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\dent__碰伤20180905095710对照样本.jpg","碰伤","TRUE"
"crack","涂层开裂","0.998957","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Coating cracking\涂层开裂20180905154947对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\crack\涂层开裂20180905154947对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\crack__涂层开裂20180905154947对照样本.jpg","涂层开裂","TRUE"
"crack","涂层开裂","0.998869","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Coating cracking\涂层开裂20180905155457对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\crack\涂层开裂20180905155457对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\crack__涂层开裂20180905155457对照样本.jpg","涂层开裂","TRUE"
"crack","涂层开裂","0.998022","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Coating cracking\涂层开裂20180905155523对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\crack\涂层开裂20180905155523对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\crack__涂层开裂20180905155523对照样本.jpg","涂层开裂","TRUE"
"crack","涂层开裂","0.997788","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Coating cracking\涂层开裂20180905155510对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\crack\涂层开裂20180905155510对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\crack__涂层开裂20180905155510对照样本.jpg","涂层开裂","TRUE"
"crack","涂层开裂","0.997239","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Coating cracking\涂层开裂20180905154917对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\crack\涂层开裂20180905154917对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\crack__涂层开裂20180905154917对照样本.jpg","涂层开裂","TRUE"
"crack","涂层开裂","0.982326","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Coating cracking\涂层开裂20180905150947对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\crack\涂层开裂20180905150947对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\crack__涂层开裂20180905150947对照样本.jpg","涂层开裂","TRUE"
"crack","涂层开裂","0.970906","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Coating cracking\涂层开裂20180905161415对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\crack\涂层开裂20180905161415对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\crack__涂层开裂20180905161415对照样本.jpg","涂层开裂","TRUE"
"crack","涂层开裂","0.967426","D:\code\VisualInspection\铝型材缺陷图\data\ali2018\Coating cracking\涂层开裂20180905150934对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\candidate_images\crack\涂层开裂20180905150934对照样本.jpg","D:\code\VisualInspection\铝型材缺陷图\data\yolo_stage3_manual\labelimg_work\images\crack__涂层开裂20180905150934对照样本.jpg","涂层开裂","TRUE"
